#{"t_start": 1779821085.2606428, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
45.0,1317,3.300377
105.0,1761,3.799243
110.0,1941,4.361804
155.0,2049,4.936993
210.0,2307,5.585237
120.0,1755,6.077387
105.0,2161,6.685225
120.0,1943,7.228679
210.0,2347,7.888459
210.0,2613,8.61788
170.0,2131,9.213883
530.0,3711,10.246521
120.0,2233,10.873178
150.0,2267,11.508855
65.0,1143,11.832741
210.0,1869,12.359276
30.0,1175,12.691086
310.0,2987,13.515069
180.0,1933,14.055182
90.0,1609,14.509199
120.0,2319,15.155321
185.0,2135,15.756049
85.0,1777,16.255707
180.0,2209,16.876352
30.0,1503,17.29846
435.0,4529,18.546734
110.0,1841,19.064746
60.0,1775,19.562896
145.0,1993,20.12264
65.0,1639,20.580207
225.0,2981,21.411705
75.0,1071,21.713362
410.0,2983,22.545059
365.0,2901,23.353449
285.0,2859,24.15143
155.0,1497,24.570352
75.0,1679,25.044318
445.0,3055,25.897233
210.0,2137,26.493669
310.0,3347,27.420666
120.0,1501,27.842711
115.0,1605,28.296257
160.0,2875,29.094726
320.0,3467,30.053976
80.0,1199,30.39447
50.0,1529,30.823138
165.0,1935,31.366271
135.0,1561,35.190578
155.0,2423,35.869073
220.0,2957,36.692839
65.0,1383,37.08347
160.0,2051,37.660445
105.0,1459,38.072578
35.0,1521,38.502134
80.0,1667,38.969091
110.0,1729,39.455016
190.0,2395,40.12692
140.0,1825,40.636943
210.0,2087,41.219612
80.0,1875,41.747452
640.0,4575,43.009003
135.0,1861,43.532024
35.0,1631,43.992619
95.0,1155,44.320235
55.0,1505,44.74327
50.0,1151,45.068838
120.0,2085,45.65504
175.0,1535,46.086367
55.0,1171,46.4173
140.0,2053,46.994288
210.0,2403,47.66842
110.0,1607,48.121459
135.0,2035,48.694695
55.0,1205,49.038675
535.0,3125,49.909648
35.0,1741,50.3997
75.0,1143,50.721377
630.0,3883,51.798244
105.0,1883,52.331133
155.0,2007,52.893343
205.0,3073,53.750216
150.0,2323,54.400954
80.0,1637,54.863551
170.0,2533,55.573102
105.0,2065,56.151724
140.0,1883,56.680559
380.0,2351,57.3399
135.0,1899,57.873436
55.0,1829,58.389298
360.0,3321,59.312932
55.0,1173,59.642797
330.0,4301,60.83414
180.0,2347,61.493066
195.0,3425,62.442394
105.0,1857,62.963006
125.0,1773,63.458616
215.0,2433,66.906348
105.0,2579,67.628115
30.0,1727,68.113285
65.0,1443,68.519362
105.0,1629,68.977712
200.0,2395,69.646057
185.0,2249,70.277395
105.0,2027,70.844977
325.0,2641,71.583886
260.0,3211,72.477677
20.0,1137,72.79618
315.0,3185,73.682122
30.0,1501,74.10366
135.0,1941,74.648731
75.0,1653,75.112075
90.0,1073,75.412929
175.0,2305,76.057262
40.0,1473,76.471455
110.0,2185,77.084108
155.0,2059,77.658173
180.0,2097,78.246318
155.0,2351,78.904458
240.0,2819,79.687555
155.0,2033,80.256145
190.0,3223,81.152211
110.0,1837,81.668034
225.0,2583,82.389293
125.0,2037,82.958621
120.0,1975,83.511556
80.0,1175,83.840941
135.0,2247,84.467626
105.0,1941,85.012821
80.0,1859,85.533557
150.0,2149,86.13546
70.0,1483,86.551232
130.0,1557,86.990466
180.0,1555,87.425773
135.0,2495,88.121233
65.0,1449,88.52833
150.0,2965,89.351784
75.0,1821,89.860537
115.0,2567,90.578359
60.0,1169,90.905671
130.0,1875,91.430458
110.0,1967,91.981507
105.0,1309,92.348242
50.0,1235,92.695785
80.0,1523,93.122951
60.0,1513,93.545325
105.0,1535,93.976821
105.0,2063,94.553618
55.0,1709,98.354701
125.0,1923,98.890489
50.0,1733,99.376509
30.0,1457,99.788156
30.0,1615,100.240391
135.0,2111,100.835225
225.0,3899,101.911283
95.0,1941,102.453564
135.0,2087,103.035108
135.0,2131,103.631026
65.0,1477,104.046616
215.0,2333,104.69628
80.0,1575,105.140073
150.0,1963,105.689729
130.0,1939,106.23246
60.0,1601,106.682777
80.0,1117,106.997038
380.0,2315,107.644549
135.0,2201,108.258762
55.0,1139,108.579513
185.0,2461,109.265911
45.0,1219,109.609434
55.0,1537,110.04223
135.0,2217,110.659097
110.0,1959,111.206527
210.0,2323,111.85225
440.0,2809,112.635605
140.0,1995,113.193997
285.0,2915,114.002508
80.0,1999,114.568616
120.0,1577,115.011461
155.0,1553,115.445841
75.0,1899,115.975189
180.0,2651,116.714626
485.0,3601,117.710659
155.0,2119,118.302494
135.0,2115,118.893189
185.0,3565,119.877711
120.0,1453,120.286783
150.0,1833,120.796134
335.0,3141,121.668895
55.0,1503,122.08883
65.0,1677,122.55974
265.0,3307,123.476963
185.0,2539,124.182752
75.0,1245,124.53324
110.0,1919,125.068011
